interval k T mean_q2 err_q2 mean_e err_e
1 1 0.2 0.66089968682 0.04337335766 -1.6825631892400001 0.00020828094000000002
1 2 0.258065 0.57104817828 0.02169562384 -1.6806150165000002 0.0002610252
1 3 0.316129 0.55754077234 0.01261232876 -1.67820332206 0.00028583808
1 4 0.374194 0.55166894198 0.01298198442 -1.6754477678800002 0.0003333809
1 5 0.432258 0.5472641567600001 0.01293221818 -1.6721533999199998 0.00034341984
1 6 0.490323 0.5309780836 0.01586675342 -1.66804900988 0.00028445121999999995
1 7 0.548387 0.51215652426 0.01801856894 -1.6629512793 0.00023526694000000002
1 8 0.606452 0.4827403625000001 0.01632740688 -1.65737642402 0.00023717655999999998
1 9 0.664516 0.44795840578 0.01537576578 -1.65026773692 0.00034705538000000003
1 10 0.722581 0.41601797141999997 0.013939537739999999 -1.64247708408 0.00036040802
1 11 0.780645 0.37799400688 0.01478597916 -1.63349904542 0.00038689604
1 12 0.83871 0.33934189282 0.01343823136 -1.62297828674 0.00053805874
1 13 0.896774 0.3027781109 0.01456187698 -1.61135655562 0.0006184257
1 14 0.954839 0.2670883934 0.013100627779999999 -1.59871813788 0.00059410368
1 15 1.012903 0.22160557906 0.0112114141 -1.58379925614 0.00067739156
1 16 1.070968 0.17423186699999998 0.00902692324 -1.5665898259 0.0008463377399999999
1 17 1.129032 0.13447179794 0.00739289848 -1.548381449 0.0008868489399999999
1 18 1.187097 0.10552614332000002 0.00567421888 -1.5286936988800002 0.00074007446
1 19 1.245161 0.08285573524 0.0036626212000000005 -1.50816910314 0.00081314254
1 20 1.303226 0.06709668636 0.00400192476 -1.48744943684 0.00100496718
1 21 1.36129 0.0559301456 0.0028755703 -1.4654265062 0.00105683068
1 22 1.419355 0.04407915472 0.00268480976 -1.4430715854599998 0.0009173970600000001
1 23 1.477419 0.037027114640000004 0.0017552039800000003 -1.42070131074 0.0010526665399999999
1 24 1.535484 0.030370237439999996 0.0011707592 -1.39714735162 0.00092472762
1 25 1.593548 0.0257176558 0.0012393569 -1.3730857905 0.0012802171
1 26 1.651613 0.0218888104 0.0008379000200000001 -1.34857869516 0.00097160714
1 27 1.709677 0.01854421496 0.0007446824600000001 -1.32520841776 0.00121706282
1 28 1.767742 0.01595959466 0.00071504568 -1.3011458785 0.00099675912
1 29 1.825806 0.01363301076 0.00046961772 -1.2772097118 0.00106034122
1 30 1.883871 0.01233877936 0.0004149148 -1.2542749929199999 0.00135641068
1 31 1.941935 0.01087507604 0.00041975952 -1.23133255908 0.00095680618
1 32 2.0 0.00994982322 0.00044797280000000004 -1.2085982149799999 0.00119142552
2 1 0.2 0.75842650186 0.03792331712 -1.68333681762 0.00015335463999999999
2 2 0.258065 0.65198928764 0.04070696168 -1.68161758312 0.00020700564
2 3 0.316129 0.59824695388 0.027912273879999998 -1.67922532004 0.00022733700000000004
2 4 0.374194 0.57875619828 0.02674051128 -1.67634832758 0.00024755008000000003
2 5 0.432258 0.5627032274999999 0.027367399100000002 -1.6728985349799999 0.0002907485
2 6 0.490323 0.5451564009000001 0.02459620548 -1.66878510632 0.0003584586
2 7 0.548387 0.51732229838 0.02006295592 -1.6638516805599999 0.00042345507999999994
2 8 0.606452 0.48303145768 0.014799423839999997 -1.6578925407 0.0004060065
2 9 0.664516 0.44985069631999997 0.01152871252 -1.65090864314 0.00029834322000000006
2 10 0.722581 0.41363561103999996 0.009886207499999999 -1.6427982930999998 0.00031247504
2 11 0.780645 0.37726571261999997 0.00941175688 -1.6338631280000002 0.00028102714
2 12 0.83871 0.34061776302 0.008149174339999999 -1.6233218613199998 0.00024107132
2 13 0.896774 0.30070886265999996 0.0077775868799999995 -1.6115764209799999 0.00033635112
2 14 0.954839 0.26157393405999996 0.00645547632 -1.59835858762 0.00042569166
2 15 1.012903 0.22264889378000002 0.00575138276 -1.58379511086 0.00054592002
2 16 1.070968 0.18177596528 0.005564283099999999 -1.56701434506 0.00064423612
2 17 1.129032 0.1447854146 0.0050440306 -1.54896285594 0.00053861652
2 18 1.187097 0.11269908449999999 0.0037539519799999997 -1.52975264312 0.00056080202
2 19 1.245161 0.08855731192 0.00274360684 -1.50938226552 0.00060572564
2 20 1.303226 0.07152858378 0.0023834142400000003 -1.48824482452 0.00058991632
2 21 1.36129 0.05765662196 0.0016456724199999998 -1.4662247775400001 0.00050657608
2 22 1.419355 0.046264496440000004 0.00140936942 -1.44345381784 0.00055938276
2 23 1.477419 0.037658259779999995 0.00090515018 -1.42010956248 0.0007134152
2 24 1.535484 0.03129457832 0.0008456286599999999 -1.39684587062 0.0005198468399999999
2 25 1.593548 0.026139060159999998 0.00072087152 -1.37274138696 0.00051966926
2 26 1.651613 0.02202952752 0.0005057769600000001 -1.34866473238 0.00047795078
2 27 1.709677 0.01863781362 0.00045373524 -1.32509891142 0.00061387474
2 28 1.767742 0.01610485416 0.00033345432 -1.3011969944600001 0.00055552772
