method tau_int_q_mean tau_int_q_std tau_int_e_mean tau_int_e_std
PT 19.938112348660002 8.75887704372131 48.29444333080001 10.176487285339638
Metropolis 141.64406428898 18.03733180455703 166.80272562426 4.792615052943757
