# mcs  k  T(k)  Q(k)  Eavg(k)
          80   10     1.152941           38       -91.0640990974
          80   11     1.258824           34       -83.8661669155
          80   12     1.364706            8       -95.4851932879
          80   13     1.470588           32       -85.7990236031
          80   14     1.576471           30       -76.1874987674
          80   15     1.682353          -26       -80.8974566446
          80   16     1.788235            4       -76.7521552376
          80   17     1.894118          -24       -71.9550520659
          80   18     2.000000           32       -70.6498485287
          90    1     0.200000           12       -97.5819655389
          90    2     0.305882          -30       -97.4743583195
          90    3     0.411765            2       -94.2341135229
          90    4     0.517647          -22       -93.9598310197
          90    5     0.623529           38       -94.4859998201
          90    6     0.729412          -38       -91.3359869228
          90    7     0.835294           46       -95.0485395186
          90    8     0.941176           -2       -89.5339688843
          90    9     1.047059           44       -93.7045771687
          90   10     1.152941          -12       -93.1436788992
          90   11     1.258824           -8       -85.6284256524
          90   12     1.364706           24       -89.2713691878
          90   13     1.470588           28       -87.7797255900
          90   14     1.576471            8       -77.9003676002
          90   15     1.682353           40       -86.8830461649
          90   16     1.788235          -28       -85.8905389134
          90   17     1.894118           10       -67.4763683301
          90   18     2.000000           -8       -73.9165103868
         100    1     0.200000           10       -97.7862631971
         100    2     0.305882          -42       -97.1254497548
         100    3     0.411765           -8       -95.2162252275
         100    4     0.517647           40       -93.8016100943
         100    5     0.623529          -22       -92.6922771117
         100    6     0.729412           48       -96.9295896266
         100    7     0.835294          -30       -94.3122697055
         100    8     0.941176           14       -96.4948839569
         100    9     1.047059           -4       -92.6331651796
         100   10     1.152941            0       -88.0085592791
         100   11     1.258824          -34       -89.9164737354
         100   12     1.364706          -30       -94.2229396875
         100   13     1.470588          -10       -84.1506549759
         100   14     1.576471           32       -84.9217654099
         100   15     1.682353          -12       -72.6265802200
         100   16     1.788235           18       -79.5583321676
         100   17     1.894118           -2       -63.0601597952
         100   18     2.000000          -12       -70.1211429912
         110    1     0.200000          -62       -98.0297667783
         110    2     0.305882           -4       -97.1784504545
         110    3     0.411765           -4       -96.9804481176
         110    4     0.517647           -6       -92.6107680562
         110    5     0.623529           50       -96.2132860810
         110    6     0.729412          -36       -95.5712818265
         110    7     0.835294          -46       -94.9962556035
         110    8     0.941176           16       -91.9425224110
         110    9     1.047059          -14       -90.6429187230
         110   10     1.152941           20       -89.7688741583
         110   11     1.258824          -14       -89.5942332488
         110   12     1.364706          -10       -86.3605277946
         110   13     1.470588           18       -79.6605150078
         110   14     1.576471          -34       -83.9198964348
         110   15     1.682353          -22       -82.6314701098
         110   16     1.788235          -16       -76.4538086944
         110   17     1.894118            4       -73.0414355595
         110   18     2.000000          -10       -69.7095941623
         120    1     0.200000          -60       -97.7945926499
         120    2     0.305882          -44       -98.0225848369
         120    3     0.411765           44       -96.3807630481
         120    4     0.517647           52       -95.1555344230
         120    5     0.623529           -2       -92.9541187916
         120    6     0.729412           32       -95.0961060700
         120    7     0.835294           18       -93.8304630248
         120    8     0.941176           18       -93.9234212191
         120    9     1.047059          -10       -88.2248252296
         120   10     1.152941            8       -88.6383145830
         120   11     1.258824          -22       -83.2273468573
         120   12     1.364706           22       -87.3974441384
         120   13     1.470588          -24       -80.2454752250
         120   14     1.576471           -8       -68.1481817449
         120   15     1.682353          -38       -81.6420892273
         120   16     1.788235          -10       -75.5984464966
         120   17     1.894118           -6       -72.3188371684
         120   18     2.000000           16       -69.8374380708
         130    1     0.200000          -42       -97.8182871786
         130    2     0.305882          -64       -97.9371317588
         130    3     0.411765           56       -96.5486312295
         130    4     0.517647           42       -96.0167606741
         130    5     0.623529           26       -94.6630619439
         130    6     0.729412            0       -93.6961982311
         130    7     0.835294           16       -91.8492680784
         130    8     0.941176           14       -92.3477799935
         130    9     1.047059           14       -91.1517607647
         130   10     1.152941          -16       -88.8894823291
         130   11     1.258824           16       -86.0748447419
         130   12     1.364706           -8       -83.4169580878
         130   13     1.470588          -30       -82.3883738985
         130   14     1.576471          -24       -84.2951714513
         130   15     1.682353          -10       -86.1751025644
         130   16     1.788235          -20       -80.2799469953
         130   17     1.894118           14       -69.2721659835
         130   18     2.000000           -2       -78.8551574612
         140    1     0.200000          -42       -98.1067265140
         140    2     0.305882           40       -98.0905250440
         140    3     0.411765          -40       -96.7681502856
         140    4     0.517647           24       -96.0533734111
         140    5     0.623529           12       -95.0531759774
         140    6     0.729412           -2       -91.7258047654
         140    7     0.835294           24       -89.5532976803
         140    8     0.941176           48       -92.3709769785
         140    9     1.047059            8       -91.2699168268
         140   10     1.152941           38       -90.1736208286
         140   11     1.258824          -34       -89.9049101886
         140   12     1.364706          -36       -92.1095027020
         140   13     1.470588          -34       -89.6961924210
         140   14     1.576471          -18       -86.7521817710
         140   15     1.682353          -26       -75.1570862656
         140   16     1.788235           14       -75.9779001859
         140   17     1.894118           -4       -75.4132426840
         140   18     2.000000           -2       -56.9586747812
         150    1     0.200000          -44       -97.8614258223
         150    2     0.305882           36       -97.2974294779
         150    3     0.411765           22       -95.8709580416
         150    4     0.517647          -34       -95.9382985200
         150    5     0.623529            8       -95.5809929047
         150    6     0.729412           -4       -90.6964106570
         150    7     0.835294           24       -93.2958158659
         150    8     0.941176           10       -90.4066695249
         150    9     1.047059           44       -92.9323204465
         150   10     1.152941           30       -89.8719068878
         150   11     1.258824          -36       -91.7258616768
         150   12     1.364706          -36       -91.6546043455
         150   13     1.470588           40       -88.3816758230
         150   14     1.576471           -6       -91.0542441179
         150   15     1.682353            6       -81.6187234483
         150   16     1.788235          -16       -82.1480508488
         150   17     1.894118          -10       -70.2853978217
         150   18     2.000000          -14       -71.7334498542
         160    1     0.200000          -44       -97.8614258223
         160    2     0.305882           20       -97.4915246183
