# nmeas_total =          700
# k  T  Q  count
   2     0.278261     61            0
   2     0.278261     62           28
   2     0.278261     63            0
   2     0.278261     64          325
   3     0.356522    -64          109
   3     0.356522    -63            0
   3     0.356522    -62           33
   3     0.356522    -61            0
   3     0.356522    -60            9
   3     0.356522    -59            0
   3     0.356522    -58            1
   3     0.356522    -57            0
   3     0.356522    -56            7
   3     0.356522    -55            0
   3     0.356522    -54            4
   3     0.356522    -53            0
   3     0.356522    -52            1
   3     0.356522    -51            0
   3     0.356522    -50           17
   3     0.356522    -49            0
   3     0.356522    -48           11
   3     0.356522    -47            0
   3     0.356522    -46           13
   3     0.356522    -45            0
   3     0.356522    -44           18
   3     0.356522    -43            0
   3     0.356522    -42           11
   3     0.356522    -41            0
   3     0.356522    -40           24
   3     0.356522    -39            0
   3     0.356522    -38            3
   3     0.356522    -37            0
   3     0.356522    -36            1
   3     0.356522    -35            0
   3     0.356522    -34            5
   3     0.356522    -33            0
   3     0.356522    -32            6
   3     0.356522    -31            0
   3     0.356522    -30            1
   3     0.356522    -29            0
   3     0.356522    -28            1
   3     0.356522    -27            0
   3     0.356522    -26            1
   3     0.356522    -25            0
   3     0.356522    -24            2
   3     0.356522    -23            0
   3     0.356522    -22            0
   3     0.356522    -21            0
   3     0.356522    -20            0
   3     0.356522    -19            0
   3     0.356522    -18            0
   3     0.356522    -17            0
   3     0.356522    -16            0
   3     0.356522    -15            0
   3     0.356522    -14            0
   3     0.356522    -13            0
   3     0.356522    -12            0
   3     0.356522    -11            0
   3     0.356522    -10            0
   3     0.356522     -9            0
   3     0.356522     -8            0
   3     0.356522     -7            0
   3     0.356522     -6            0
   3     0.356522     -5            0
   3     0.356522     -4            0
   3     0.356522     -3            0
   3     0.356522     -2            0
   3     0.356522     -1            0
   3     0.356522      0            0
   3     0.356522      1            0
   3     0.356522      2            0
   3     0.356522      3            0
   3     0.356522      4            1
   3     0.356522      5            0
   3     0.356522      6            0
   3     0.356522      7            0
   3     0.356522      8            0
   3     0.356522      9            0
   3     0.356522     10            0
   3     0.356522     11            0
   3     0.356522     12            0
   3     0.356522     13            0
   3     0.356522     14            0
   3     0.356522     15            0
   3     0.356522     16            0
   3     0.356522     17            0
   3     0.356522     18            0
   3     0.356522     19            0
   3     0.356522     20            1
   3     0.356522     21            0
   3     0.356522     22            3
   3     0.356522     23            0
   3     0.356522     24            1
   3     0.356522     25            0
   3     0.356522     26            4
   3     0.356522     27            0
   3     0.356522     28            3
   3     0.356522     29            0
   3     0.356522     30            0
   3     0.356522     31            0
   3     0.356522     32            2
   3     0.356522     33            0
   3     0.356522     34            0
   3     0.356522     35            0
   3     0.356522     36            1
   3     0.356522     37            0
   3     0.356522     38            3
   3     0.356522     39            0
   3     0.356522     40           22
   3     0.356522     41            0
   3     0.356522     42           11
   3     0.356522     43            0
   3     0.356522     44           29
   3     0.356522     45            0
   3     0.356522     46           12
   3     0.356522     47            0
   3     0.356522     48           12
   3     0.356522     49            0
   3     0.356522     50           39
   3     0.356522     51            0
   3     0.356522     52            5
   3     0.356522     53            0
   3     0.356522     54            4
   3     0.356522     55            0
   3     0.356522     56            9
   3     0.356522     57            0
   3     0.356522     58            8
   3     0.356522     59            0
   3     0.356522     60           10
   3     0.356522     61            0
   3     0.356522     62           41
   3     0.356522     63            0
   3     0.356522     64          201
   4     0.434783    -64           61
   4     0.434783    -63            0
   4     0.434783    -62           32
   4     0.434783    -61            0
   4     0.434783    -60           16
   4     0.434783    -59            0
   4     0.434783    -58            6
   4     0.434783    -57            0
   4     0.434783    -56            8
   4     0.434783    -55            0
   4     0.434783    -54            9
   4     0.434783    -53            0
   4     0.434783    -52            6
   4     0.434783    -51            0
   4     0.434783    -50           18
   4     0.434783    -49            0
   4     0.434783    -48           12
   4     0.434783    -47            0
   4     0.434783    -46           18
   4     0.434783    -45            0
